Elevation,Year_edge_glacier,side,Grid,Point,Roughness
4359,1850,c,1,1,0
4359,1850,c,1,2,4.3
4359,1850,c,1,3,3.5
4359,1850,c,1,4,4.1
4359,1850,c,1,5,7.4
4359,1850,c,1,6,7.7
4359,1850,c,1,7,8.3
4359,1850,c,1,8,9.7
4359,1850,c,1,9,9.6
4359,1850,e,2,1,1.1
4359,1850,e,2,2,2.2
4359,1850,e,2,3,3.6
4359,1850,e,2,4,2.5
4359,1850,e,2,5,3.7
4359,1850,e,2,6,7.4
4359,1850,e,2,7,5.5
4359,1850,e,2,8,6.2
4359,1850,e,2,9,7.6
4359,1850,w,3,1,1.8
4359,1850,w,3,2,3.4
4359,1850,w,3,3,3.6
4359,1850,w,3,4,5.4
4359,1850,w,3,5,6.1
4359,1850,w,3,6,7.4
4359,1850,w,3,7,7.8
4359,1850,w,3,8,8.7
4359,1850,w,3,9,9.2
4648,1960,c,1,1,7.2
4648,1960,c,1,2,9.2
4648,1960,c,1,3,10.8
4648,1960,c,1,4,9.6
4648,1960,c,1,5,13.2
4648,1960,c,1,6,14.4
4648,1960,c,1,7,3.1
4648,1960,c,1,8,8.9
4648,1960,c,1,9,5
4648,1960,e,2,1,5.1
4648,1960,e,2,2,3.9
4648,1960,e,2,3,3.1
4648,1960,e,2,4,7.7
4648,1960,e,2,5,6.7
4648,1960,e,2,6,0.1
4648,1960,e,2,7,0.3
4648,1960,e,2,8,2.3
4648,1960,e,2,9,0
4648,1960,w,3,1,11.5
4648,1960,w,3,2,11.9
4648,1960,w,3,3,11
4648,1960,w,3,4,11.1
4648,1960,w,3,5,10.5
4648,1960,w,3,6,10.6
4648,1960,w,3,7,10.2
4648,1960,w,3,8,9.2
4648,1960,w,3,9,7
4660,1990,c,1,1,7.1
4660,1990,c,1,2,7.7
4660,1990,c,1,3,6.5
4660,1990,c,1,4,7.7
4660,1990,c,1,5,6.7
4660,1990,c,1,6,8
4660,1990,c,1,7,7.2
4660,1990,c,1,8,8.6
4660,1990,c,1,9,7.9
4660,1990,e,2,1,4.1
4660,1990,e,2,2,3.4
4660,1990,e,2,3,3
4660,1990,e,2,4,6.4
4660,1990,e,2,5,4.6
4660,1990,e,2,6,13
4660,1990,e,2,7,19.5
4660,1990,e,2,8,15
4660,1990,e,2,9,14.2
4660,1990,w,3,1,5.7
4660,1990,w,3,2,3.9
4660,1990,w,3,3,4.6
4660,1990,w,3,4,5.5
4660,1990,w,3,5,6.8
4660,1990,w,3,6,6.1
4660,1990,w,3,7,5.2
4660,1990,w,3,8,5.7
4660,1990,w,3,9,4.9
4690,2010,c,1,1,2.6
4690,2010,c,1,2,2.5
4690,2010,c,1,3,2
4690,2010,c,1,4,0
4690,2010,c,1,5,0
4690,2010,c,1,6,2.8
4690,2010,c,1,7,2.9
4690,2010,c,1,8,3.7
4690,2010,c,1,9,2.8
4690,2010,e,2,1,0.7
4690,2010,e,2,2,1.7
4690,2010,e,2,3,2.8
4690,2010,e,2,4,4.4
4690,2010,e,2,5,5
4690,2010,e,2,6,2.1
4690,2010,e,2,7,6.3
4690,2010,e,2,8,9
4690,2010,e,2,9,9.6
4690,2010,w,3,1,3.7
4690,2010,w,3,2,6.7
4690,2010,w,3,3,7.1
4690,2010,w,3,4,10.3
4690,2010,w,3,5,9.7
4690,2010,w,3,6,9.9
4690,2010,w,3,7,11
4690,2010,w,3,8,1.7
4690,2010,w,3,9,12
4698,2020,c,1,1,10.5
4698,2020,c,1,2,11.4
4698,2020,c,1,3,9.4
4698,2020,c,1,4,11.4
4698,2020,c,1,5,11.1
4698,2020,c,1,6,9.4
4698,2020,c,1,7,7.9
4698,2020,c,1,8,6.8
4698,2020,c,1,9,7
4698,2020,e,2,1,2.8
4698,2020,e,2,2,2.4
4698,2020,e,2,3,1.5
4698,2020,e,2,4,1.4
4698,2020,e,2,5,1.8
4698,2020,e,2,6,4.4
4698,2020,e,2,7,3.5
4698,2020,e,2,8,4.5
4698,2020,e,2,9,4.7
4698,2020,w,3,1,10.2
4698,2020,w,3,2,9.2
4698,2020,w,3,3,8.6
4698,2020,w,3,4,9.2
4698,2020,w,3,5,10
4698,2020,w,3,6,9.6
4698,2020,w,3,7,9.7
4698,2020,w,3,8,9.2
4698,2020,w,3,9,10.5
