Elevation,Year_edge_glacier,side,Grid,Stability
4359,1850,c,1,6
4359,1850,c,1,NA
4359,1850,c,1,NA
4359,1850,e,2,NA
4359,1850,e,2,NA
4359,1850,e,2,NA
4359,1850,w,3,NA
4359,1850,w,3,NA
4359,1850,w,3,NA
4648,1960,c,1,NA
4648,1960,c,1,NA
4648,1960,c,1,NA
4648,1960,e,2,NA
4648,1960,e,2,NA
4648,1960,e,2,NA
4648,1960,w,3,NA
4648,1960,w,3,NA
4648,1960,w,3,NA
4660,1990,c,1,6
4660,1990,c,1,6
4660,1990,c,1,6
4660,1990,e,2,6
4660,1990,e,2,NA
4660,1990,e,2,6
4660,1990,w,3,NA
4660,1990,w,3,NA
4660,1990,w,3,6
4690,2010,c,1,1
4690,2010,c,1,6
4690,2010,c,1,1
4690,2010,e,2,3
4690,2010,e,2,2
4690,2010,e,2,3
4690,2010,w,3,NA
4690,2010,w,3,NA
4690,2010,w,3,NA
4698,2020,c,1,1
4698,2020,c,1,6
4698,2020,c,1,6
4698,2020,e,2,1
4698,2020,e,2,1
4698,2020,e,2,1
4698,2020,w,3,1
4698,2020,w,3,1
4698,2020,w,3,2
